,features,importance-mean,importance-std
0,age,0.04777907704879734,0.00023874576481381995
1,signup_method,0.016092544122746945,0.0002433294928357003
2,action_type_booking_request,0.003909893766694217,0.00022141166639320903
3,signup_flow,0.0009973865243405378,0.00016708456571565917
4,gender,0.0005693726946490063,0.00017150848784553975
5,action_detail_create_listing,0.00048594093278309103,0.00010128262629167249
6,action_type_message_post,0.00045553995400495764,0.0001489871346838012
7,first_affiliate_tracked_affiliate_channel_GB,0.00043707030826249936,0.00010529292289052776
8,action_detail_pending,0.0003905440122938364,4.48639387157778e-05
9,first_affiliate_tracked,0.0002895697165925526,7.671913830980688e-05
10,first_browser,0.00028025724629248127,0.00015098072371945795
11,first_device_type,0.00022181355451129648,2.990910411675022e-05
12,year_first_active,0.0002118203959543763,6.240646575333103e-05
13,weighted_feature,0.0002101822280872856,0.00029737118109147954
14,affiliate_channel,0.00020883557545550157,9.627827068717835e-05
15,year_account_created,0.00017128065559466333,0.00015454884842705535
16,action_languages_multiselect,0.00014812053959669668,1.0811371953598957e-05
17,action_ajax_refresh_subtotal,0.00014374532785115245,4.7729633944764586e-05
18,month_account_created,0.0001395970010861003,0.00016084115616895616
19,action_notifications,0.00012941068970500068,1.7191489507350543e-05
20,affiliate_provider,0.00010482278237127219,0.00010997213272161622
21,signup_app_NDF,0.00010465218208866034,1.7607702838753698e-05
22,first_affiliate_tracked_affiliate_channel_US,0.00010281395626872136,7.737185517304578e-05
23,action_detail_edit_profile,0.00010076850248967873,2.1985909112216748e-05
24,action_detail_cancellation_policies,9.60929992502635e-05,6.571053929075292e-05
25,action_type_click,9.589774280218676e-05,3.1348778444852245e-05
26,first_affiliate_tracked_AU,9.199276358466957e-05,9.58764852627276e-05
27,first_brows_device_type_signup_GB,9.173714591670379e-05,2.7062335989372015e-05
28,first_affiliate_tracked_affiliate_channel_other,8.976498228270291e-05,4.793761891538597e-05
29,action_detail_your_trips,8.737143856172303e-05,3.214926851897971e-05
30,action_requested,8.31011981736962e-05,4.965769716556907e-05
31,language_other,8.195606368450736e-05,3.600776869491717e-05
32,month_first_active,7.923594317031935e-05,0.00021111964965699978
33,first_brows_device_type_signup_AU,7.698418354744607e-05,6.985893281250817e-05
34,action_detail_change_trip_characteristics,7.671344243183053e-05,4.748529118782999e-05
35,age_affiliated_provider,7.614748449478182e-05,2.0096663300970463e-05
36,first_brows_device_type_signup_NL,7.474576220936057e-05,6.110204063595722e-05
37,action_identity,7.376660006224167e-05,4.325662480078187e-05
38,device_type_Windows Desktop,7.067431742506791e-05,5.698627297113897e-05
39,action_detail_unavailable_dates,7.05884755164421e-05,2.0557582220057833e-05
40,action_pending,6.643418402310086e-05,3.3855604542036514e-05
41,secs_elapsed_mean,6.418666664118611e-05,6.275468634030203e-05
42,language_age_group_FR,6.388164328876566e-05,2.104345480680906e-05
43,device_type_-unknown-,6.340561181383819e-05,3.0986693002511466e-05
44,action_detail_user_profile,6.290410812570535e-05,8.692978382865599e-05
45,action_type_count,6.215453115629988e-05,2.6444379490573005e-05
46,action_detail_p5,6.205309743472221e-05,3.4287432988408784e-05
47,action_kba_update,5.702778714120615e-05,9.483942672928143e-06
48,action_detail_wishlist_content_update,5.6219837220483626e-05,2.0873616681767915e-05
49,action_detail_change_contact_host_dates,5.589026263388419e-05,1.6550735044842557e-05
50,action_detail_guest_cancellation,4.790466460484755e-05,6.421643031247535e-06
51,action_detail_listing_reviews_page,4.623658120403995e-05,3.784818702148992e-05
52,action_detail_update_user,4.609825655756961e-05,1.7318868928657332e-05
53,action_complete_status,4.597033033226783e-05,4.4954764132827756e-05
54,action_detail_message_thread,4.529722719839313e-05,2.887169308276178e-05
55,action_type_partner_callback,4.460814604521079e-05,3.5083732667326354e-05
56,action_index,4.2374175857951e-05,2.4273380970650896e-05
57,language_age_group_GB,4.208353630792416e-05,1.3100019540926696e-05
58,action_confirm_email,4.207299329488379e-05,4.101355513578761e-05
59,first_brows_device_type_signup_IT,4.147424378764253e-05,2.0665394716198714e-05
60,secs_elapsed_median,3.967672962885693e-05,4.3231655277314255e-05
61,action_lookup,3.917234092243316e-05,3.925723902348168e-05
62,action_detail_view_search_results,3.8932959715842766e-05,6.156607272050838e-05
63,affiliate_channel_AU,3.812790803428001e-05,6.529201279795827e-05
64,action_detail_similar_listings,3.763372830780654e-05,2.9493591027059708e-05
65,action_detail_manage_listing,3.722845280478282e-05,6.197578553834882e-05
66,language_age_group_IT,3.591875125565913e-05,2.179632586127467e-05
67,first_brows_device_type_signup_ES,3.561814894472715e-05,2.4170420710707256e-05
68,language_age_group_other,3.3465468760351945e-05,1.5154566706669928e-05
69,action_qt2,3.340354501502052e-05,5.470847068020908e-05
70,device_type_Android Phone,3.340112741134771e-05,2.169786667386365e-05
71,first_brows_device_type_signup_other,3.282353293119211e-05,8.57758318990214e-06
72,age_first_browser,3.0938513645772936e-05,1.3755855182794794e-05
73,device_type_iPad Tablet,3.0777583271190956e-05,2.454460284034872e-05
74,first_brows_device_type_signup_FR,3.0266490314545534e-05,4.6037868087737564e-05
75,action_detail_update_listing,2.9449363710321032e-05,5.209842002531125e-05
76,action_detail_user_listings,2.856648946181206e-05,1.2819474920988944e-05
77,action_create,2.7765070226948296e-05,3.6879237297281126e-05
78,day_first_active,2.6860321926736042e-05,4.479868891537804e-05
79,action_detail_translate_listing_reviews,2.614948278474305e-05,1.1828003094240017e-05
80,action_recommend,2.420642969245268e-05,2.40826108257993e-05
81,first_affiliate_tracked_affiliate_channel_ES,2.4173258304438505e-05,4.9909038185056895e-05
82,affiliate_channel_DE,2.3284352920449615e-05,5.7306867443130086e-06
83,language,2.1916730970850118e-05,3.924896218916689e-05
84,action_header_userpic,2.168991417936805e-05,1.2094791829499988e-06
85,first_affiliate_tracked_affiliate_channel_AU,2.1071866909250225e-05,3.343119650418219e-05
86,first_brows_device_type_signup_PT,2.087555969374488e-05,1.674096922259357e-05
87,action_open_graph_setting,1.9768380117590745e-05,5.793809012548556e-06
88,first_affiliate_tracked_affiliate_channel_IT,1.9701878594013955e-05,2.0416661067479433e-05
89,action_payment_methods,1.9547123884033902e-05,2.2505038958258588e-05
90,action_detail_send_message,1.902199683372352e-05,1.2413720296426333e-05
91,action_available,1.9019337615411304e-05,2.14567066156044e-05
92,action_populate_from_facebook,1.8799757820509023e-05,4.539308221442582e-06
93,action_detail_header_userpic,1.8457241088043473e-05,8.507878017204535e-06
94,language_age_group_DE,1.8342234299417726e-05,6.256310561868318e-05
95,first_affiliate_tracked_affiliate_channel_CA,1.8198229869126335e-05,1.9954348290130276e-05
96,action_cancellation_policies,1.819811064327492e-05,1.748206503567351e-05
97,action_12,1.7906101600728696e-05,1.1148485452234339e-05
98,action_collections,1.754023164928231e-05,9.814505871325438e-06
99,action_ajax_lwlb_contact,1.7344246687844843e-05,2.6120243886978972e-05
100,action_detail_profile_verifications,1.727206538073567e-05,2.6541506803973007e-05
101,first_affiliate_tracked_affiliate_channel_FR,1.70068879858265e-05,3.619577454661976e-05
102,global_device,1.6999280660279225e-05,7.080342333151185e-06
103,action_ajax_google_translate_reviews,1.6824315685459724e-05,6.437182248773511e-06
104,action_reviews,1.4173946223272615e-05,6.592967965898469e-06
105,action_detail_create_phone_numbers,1.4152294746283545e-05,5.0729855441849025e-05
106,action_phone_verification_number_sucessfully_submitted,1.383224553854756e-05,4.235242945734673e-06
107,day_account_created,1.3502886631666656e-05,5.2962506980588437e-05
108,language_age_group_US,1.2928256367472634e-05,3.897620581277033e-05
109,action_delete,1.2891679283733027e-05,7.187136357008714e-06
110,language_age_group_CA,1.2572800575805231e-05,3.0539562883948884e-05
111,action_faq,1.1620172112514205e-05,1.1511899587680633e-05
112,action_type_-unknown-,1.1506612799383475e-05,5.542457866299462e-05
113,action_detail_account_privacy_settings,1.0579490896889254e-05,6.697918826424616e-06
114,action_travel_plans_current,1.0527381651170842e-05,1.2486636873256483e-05
115,action_image_order,1.0374184153882914e-05,8.470485891537333e-06
116,action_facebook_auto_login,1.014965625156794e-05,3.5462656624364964e-06
117,action_detail_message_inbox,1.008822838699519e-05,0.0
118,action_detail_p3,9.880726615030255e-06,2.1596986836176663e-05
119,action_other_hosting_reviews,9.675078071480492e-06,4.820175799803995e-06
120,action_personalize,9.524533466698237e-06,6.78449578055209e-06
121,first_affiliate_tracked_affiliate_channel_DE,9.233391140717195e-06,4.1958878692866434e-05
122,action_reviews_new,9.075967723659595e-06,3.618722171050731e-06
123,first_browser_CA,8.884202356251869e-06,1.1301736289447537e-05
124,action_other_hosting_reviews_first,8.543971349972423e-06,5.510337462798619e-05
125,action_update,8.384356066892806e-06,4.759766940124732e-05
126,action_detail_update_listing_description,8.365003030141871e-06,5.724195530476824e-06
127,first_device_type_NDF,7.493352739462722e-06,6.7979027558966645e-06
128,action_detail_signup_login_page,7.24089118375737e-06,1.1056203354887978e-05
129,action_edit,6.957349857694694e-06,1.9054071833970586e-05
130,first_affiliate_tracked_affiliate_channel_PT,6.677940591304221e-06,2.940968138605751e-05
131,action_detail_message_to_host_focus,6.673805368850871e-06,3.6916641359644997e-06
132,language_age_group_ES,6.637903042738813e-06,1.7893642671356697e-05
133,action_detail_account_notification_settings,6.463550518254202e-06,4.439305630187121e-06
134,action_signed_out_modal,6.216162621730526e-06,3.7174304436364295e-05
135,action_this_hosting_reviews,5.952084069638097e-06,1.3056266697767146e-05
136,action_status,5.5782364632994685e-06,0.0
137,action_qt_reply_v2,5.43701680304487e-06,9.462623598424062e-06
138,action_recommended_listings,5.387450712568409e-06,3.787232245229895e-05
139,signup_app,5.298211583637524e-06,5.772755988646988e-05
140,action_authenticate,5.2780108075412e-06,1.547378783502547e-05
141,first_affiliate_tracked_affiliate_channel_NDF,5.235097791711496e-06,3.728464683333541e-05
142,action_phone_verification_number_submitted_for_call,5.18709207695256e-06,6.916122769251576e-06
143,action_type_view,4.936899863849931e-06,2.87954808754097e-05
144,action_push_notification_callback,4.795947690516833e-06,1.2705728837349056e-05
145,action_detail_message_to_host_change,4.735254665311217e-06,3.8389280572643465e-06
146,action_similar_listings,4.669826618641792e-06,8.416162430312709e-06
147,action_detail_signup,4.37600925993209e-06,5.5913149387170396e-06
148,action_campaigns,4.080644177184567e-06,8.291564032360448e-06
149,signup_app_AU,3.4799480880476353e-06,7.14412218291124e-05
150,action_set_password,3.4580613846646457e-06,6.916122769329291e-06
151,action_detail_set_password_page,3.4580613846646457e-06,4.235242945825322e-06
152,affiliate_channel_GB,3.458061384620237e-06,1.40467117472037e-05
153,action_detail_post_checkout_action,3.3476481886562937e-06,3.199564462938033e-05
154,action_populate_help_dropdown,3.175374123598473e-06,4.66270926394109e-06
155,action_detail_set_password,3.044179392586166e-06,3.544393076286233e-06
156,action_detail_user_reviews,2.7917146741218702e-06,1.9259849832972877e-05
157,action_jumio,2.7421485836898187e-06,6.4953682912261e-07
158,affiliate_channel_NDF,2.68652605448505e-06,7.00647543730873e-06
159,action_detail_p1,2.642156011911645e-06,1.6226486300017884e-05
160,action_detail_delete_phone_numbers,2.445069045009518e-06,5.412344549834528e-06
161,action_ajax_google_translate_description,2.2260985375277543e-06,1.79974903546692e-05
162,action_detail_terms_and_privacy,2.0537991068714233e-06,3.3551479131569306e-06
163,action_type_submit,1.8326652620803684e-06,3.4605459194564675e-05
164,age_language,1.7433069071426387e-06,7.335983905241093e-06
165,action_unavailabilities,1.7290306923323228e-06,3.4580613846646457e-06
166,action_detail_apply_coupon_click,1.7290306923323228e-06,3.4580613846646457e-06
167,action_position,1.729030692287914e-06,3.458061384575828e-06
168,action_friends_new,1.729030692287914e-06,1.0081894791632294e-05
169,action_detail_translations,1.729030692287914e-06,3.458061384575828e-06
170,action_ajax_get_referrals_amt,1.6569717739001177e-06,1.0696013657231845e-05
171,action_tos_confirm,1.6238420726955027e-06,0.0
172,action_phone_verification_number_submitted_for_sms,1.6238420726955027e-06,0.0
173,action_detail_list_your_space,1.6070321912753372e-06,8.929866301072797e-06
174,action_detail_login,1.400258932759968e-06,1.5104484046005494e-05
175,action_account,1.3859922066261632e-06,1.2585566417109442e-05
176,action_complete_redirect,9.911119622785236e-07,4.035291354842486e-06
177,action_click,9.54961695565082e-07,3.0721090965658427e-06
178,first_affiliate_tracked_affiliate_channel_NL,8.212269722918109e-07,4.106134861459054e-07
179,language_DE,6.133833996502247e-07,1.2267667993004494e-06
180,language_age_group_PT,5.251238873515973e-07,7.863496130898851e-06
181,action_jumio_token,5.022638930318735e-07,6.953655869832873e-06
182,age_group,4.325845609054468e-07,3.2859712149687174e-05
183,action_social_connections,2.886149851333286e-07,1.5248835957304796e-06
184,action_settings,2.053067430285438e-07,4.106134860570876e-07
185,language_distance_km_GB,0.0,0.0
186,language_distance_km_ES,0.0,0.0
187,first_affiliate_tracked_lng_destination_IT,0.0,0.0
188,language_distance_km_FR,0.0,0.0
189,language_distance_km_DE,0.0,0.0
190,language_distance_km_CA,0.0,0.0
191,first_affiliate_tracked_language_levenshtein_distance_NL,0.0,0.0
192,language_distance_km_NL,0.0,0.0
193,language_distance_km_IT,0.0,0.0
194,language_destination_km2_US,0.0,0.0
195,first_affiliate_tracked_lng_destination_GB,0.0,0.0
196,affiliate_channel_lng_destination_GB,0.0,0.0
197,first_affiliate_tracked_lng_destination_FR,0.0,0.0
198,language_distance_km_PT,0.0,0.0
199,language_distance_km_US,0.0,0.0
200,language_lng_destination_AU,0.0,0.0
201,language_lng_destination_CA,0.0,0.0
202,language_lng_destination_DE,0.0,0.0
203,language_distance_km_AU,0.0,0.0
204,language_destination_km2_GB,0.0,0.0
205,first_affiliate_tracked_lng_destination_NL,0.0,0.0
206,language_destination_km2_PT,0.0,0.0
207,language_language_levenshtein_distance_AU,0.0,0.0
208,first_affiliate_tracked_lng_destination_US,0.0,0.0
209,affiliate_channel_destination_km2_GB,0.0,0.0
210,language_language_levenshtein_distance_CA,0.0,0.0
211,language_language_levenshtein_distance_DE,0.0,0.0
212,language_language_levenshtein_distance_ES,0.0,0.0
213,language_language_levenshtein_distance_FR,0.0,0.0
214,language_language_levenshtein_distance_GB,0.0,0.0
215,language_language_levenshtein_distance_IT,0.0,0.0
216,language_language_levenshtein_distance_NL,0.0,0.0
217,first_affiliate_tracked_lng_destination_PT,0.0,0.0
218,language_language_levenshtein_distance_PT,0.0,0.0
219,language_language_levenshtein_distance_US,0.0,0.0
220,language_destination_km2_AU,0.0,0.0
221,language_destination_km2_CA,0.0,0.0
222,language_destination_km2_DE,0.0,0.0
223,language_destination_km2_ES,0.0,0.0
224,language_destination_km2_FR,0.0,0.0
225,language_lng_destination_FR,0.0,0.0
226,language_destination_km2_IT,0.0,0.0
227,language_destination_km2_NL,0.0,0.0
228,language_lng_destination_ES,0.0,0.0
229,first_affiliate_tracked_lng_destination_CA,0.0,0.0
230,language_lng_destination_GB,0.0,0.0
231,first_browser_language_levenshtein_distance_FR,0.0,0.0
232,first_browser_population_in_thousands_IT,0.0,0.0
233,first_browser_population_in_thousands_NL,0.0,0.0
234,first_browser_population_in_thousands_US,0.0,0.0
235,first_browser_language_levenshtein_distance_AU,0.0,0.0
236,first_browser_language_levenshtein_distance_CA,0.0,0.0
237,first_affiliate_tracked_distance_km_PT,0.0,0.0
238,first_affiliate_tracked_distance_km_NL,0.0,0.0
239,first_browser_language_levenshtein_distance_DE,0.0,0.0
240,first_affiliate_tracked_distance_km_IT,0.0,0.0
241,first_browser_language_levenshtein_distance_ES,0.0,0.0
242,first_browser_language_levenshtein_distance_GB,0.0,0.0
243,affiliate_channel_destination_km2_NL,0.0,0.0
244,first_affiliate_tracked_distance_km_GB,0.0,0.0
245,first_browser_language_levenshtein_distance_IT,0.0,0.0
246,first_browser_language_levenshtein_distance_NL,0.0,0.0
247,first_browser_language_levenshtein_distance_PT,0.0,0.0
248,first_browser_language_levenshtein_distance_US,0.0,0.0
249,first_browser_destination_km2_AU,0.0,0.0
250,first_browser_destination_km2_CA,0.0,0.0
251,first_browser_destination_km2_DE,0.0,0.0
252,first_browser_destination_km2_ES,0.0,0.0
253,first_browser_destination_km2_FR,0.0,0.0
254,first_browser_population_in_thousands_GB,0.0,0.0
255,first_browser_population_in_thousands_FR,0.0,0.0
256,first_affiliate_tracked_lng_destination_ES,0.0,0.0
257,affiliate_channel_destination_km2_IT,0.0,0.0
258,first_affiliate_tracked_lng_destination_DE,0.0,0.0
259,language_lng_destination_IT,0.0,0.0
260,language_lng_destination_NL,0.0,0.0
261,language_lng_destination_PT,0.0,0.0
262,language_lng_destination_US,0.0,0.0
263,language_lat_destination_AU,0.0,0.0
264,language_lat_destination_CA,0.0,0.0
265,language_lat_destination_DE,0.0,0.0
266,language_lat_destination_ES,0.0,0.0
267,first_affiliate_tracked_lng_destination_AU,0.0,0.0
268,language_lat_destination_FR,0.0,0.0
269,first_browser_population_in_thousands_ES,0.0,0.0
270,language_lat_destination_GB,0.0,0.0
271,language_lat_destination_IT,0.0,0.0
272,language_lat_destination_NL,0.0,0.0
273,language_lat_destination_PT,0.0,0.0
274,first_affiliate_tracked_distance_km_US,0.0,0.0
275,language_lat_destination_US,0.0,0.0
276,affiliate_channel_lng_destination_FR,0.0,0.0
277,first_browser_population_in_thousands_AU,0.0,0.0
278,first_browser_population_in_thousands_CA,0.0,0.0
279,first_browser_population_in_thousands_DE,0.0,0.0
280,language_population_in_thousands_US,0.0,0.0
281,affiliate_channel_destination_km2_FR,0.0,0.0
282,language_population_in_thousands_PT,0.0,0.0
283,signup_app_DE,0.0,0.0
284,signup_app_ES,0.0,0.0
