iter	Passed	Remaining
0	95	95273
1	108	54333
2	120	40049
3	132	33051
4	144	28803
5	156	25897
6	168	23877
7	181	22547
8	196	21672
9	211	20932
10	226	20359
11	240	19802
12	253	19270
13	267	18832
14	281	18454
15	295	18199
16	311	18036
17	327	17859
18	340	17598
19	358	17579
20	373	17413
21	388	17269
22	401	17034
23	414	16869
24	429	16751
25	444	16663
26	459	16545
27	473	16450
28	487	16319
29	501	16199
30	514	16091
31	529	16004
32	544	15947
33	558	15863
34	575	15880
35	592	15853
36	608	15826
37	623	15790
38	639	15753
39	653	15680
40	667	15605
41	684	15601
42	699	15569
43	716	15560
44	729	15482
45	744	15437
46	762	15454
47	775	15390
48	792	15373
49	808	15354
50	824	15335
51	839	15308
52	855	15290
53	871	15268
54	886	15231
55	901	15194
56	915	15139
57	929	15095
58	942	15034
59	957	15007
60	973	14984
61	989	14976
62	1005	14951
63	1020	14923
64	1034	14885
65	1048	14843
66	1061	14785
67	1075	14734
68	1089	14706
69	1105	14691
70	1121	14674
71	1137	14659
72	1153	14650
73	1169	14631
74	1184	14603
75	1202	14619
76	1219	14616
77	1236	14612
78	1251	14593
79	1267	14580
80	1284	14569
81	1300	14564
82	1318	14565
83	1341	14630
84	1361	14656
85	1376	14634
86	1397	14665
87	1415	14668
88	1432	14663
89	1449	14651
90	1465	14633
91	1480	14608
92	1496	14593
93	1511	14569
94	1526	14543
95	1540	14509
96	1554	14470
97	1567	14431
98	1582	14405
99	1596	14369
100	1614	14370
101	1630	14356
102	1646	14339
103	1662	14324
104	1679	14311
105	1693	14281
106	1708	14256
107	1722	14224
108	1735	14186
109	1750	14160
110	1765	14137
111	1779	14111
112	1793	14080
113	1811	14080
114	1828	14067
115	1843	14050
116	1859	14031
117	1876	14023
118	1891	14005
119	1909	14002
120	1930	14025
121	1949	14028
122	1968	14038
123	1984	14017
124	2000	14000
125	2013	13967
126	2026	13928
127	2038	13888
128	2050	13848
129	2063	13807
130	2074	13764
131	2087	13724
132	2099	13683
133	2111	13643
134	2122	13602
135	2134	13561
136	2147	13526
137	2161	13499
138	2177	13485
139	2193	13472
140	2208	13457
141	2224	13442
142	2240	13425
143	2255	13405
144	2270	13386
145	2284	13362
146	2297	13334
147	2310	13302
148	2324	13278
149	2339	13257
150	2355	13243
151	2370	13225
152	2386	13211
153	2402	13197
154	2416	13176
155	2432	13160
156	2446	13138
157	2460	13112
158	2474	13088
159	2489	13071
160	2505	13055
161	2521	13043
162	2537	13028
163	2552	13010
164	2566	12988
165	2581	12967
166	2594	12943
167	2608	12919
168	2623	12898
169	2637	12878
170	2652	12859
171	2667	12840
172	2682	12820
173	2695	12796
174	2709	12771
175	2723	12751
176	2738	12732
177	2752	12712
178	2767	12694
179	2783	12678
180	2799	12667
181	2816	12657
182	2831	12641
183	2847	12628
184	2863	12613
185	2877	12594
186	2891	12569
187	2905	12549
188	2919	12529
189	2935	12512
190	2950	12498
191	2966	12484
192	2982	12472
193	2998	12458
194	3014	12446
195	3030	12429
196	3046	12416
197	3061	12400
198	3076	12384
